Название вакансии | Работодатель | Зарплата
Домработница/домработник | Парус электро | от 7000 RUR
Тестировщик ПО (QA) | VK | не указана
Дизайнер | ЦУГАМ | 200000 - 200000 RUR
Коммерческий директор / Commercial Director | Астрос Рус | не указана
Руководитель проекта | ППК Фонд развития территорий | от 200000 RUR
Личный водитель | Орион Интернейшнл Евро в г. Тверь | от 80000 RUR
Руководитель группы обучения, оценки и развития персонала | ГИАП | не указана
Водитель-экспедитор | Ип | от 80000 RUR
Middle+ Разработчик Golang | Хелоу | не указана
Воспитатель | ГБУ ЦССВ имени Ю.В. Никулина | 110000 - 110000 RUR
Помощник руководителя | Смирнов Владимир Александрович | 200000 - 200000 RUR
Менеджер по продажам (B2B, без холодных звонков) | Консалтинговая компания Sales Рекрутинг | 90000 - 200000 RUR
Сотрудник магазина | РаботаВсем | 70000 - 120000 RUR
Специалист по работе с данными | Интеллектуальные решения | до 30000 RUR
Ведущий менеджер | Русинжгидро | от 95000 RUR
Помощник по дому | ТАТСОЦБАНК | до 150000 RUR
Финансовый директор | DENTOPT | не указана
Менеджер по записи на СТО (удаленно) | Автоспот | 60000 - 80000 RUR
Тестировщик | Navicon | не указана
Специалист письменной поддержки (GDS) | Купибилет | от 110000 RUR
QA Engineer | Вайт Код | не указана
Водитель-экспедитор | РЕСОРБА | 125000 - 125000 RUR
Водитель-экспедитор | Никифор | 65000 - 80000 RUR
Технический директор | Группа Официальных Дилеров Сильвер | не указана
Администратор в офис с функциями АХО | Д-Транс, Группа Компаний | 100000 - 150000 RUR
Бухгалтер в единственном лице | VIVENDI | от 90000 RUR
Кладовщик | MedPoint24 | от 65000 RUR
Специалист ручного тестирования | Абсолют Страхование | не указана
Специалист 1 категории | Татнефть | 106000 - 135000 RUR
Диспетчер | Бампер | от 90000 RUR
Младший специалист по работе с российским бизнесом | Фонд Росконгресс подразделение в г. Санкт-Петербурге | не указана
Табельщик | Айси Логистик | от 50000 RUR
Frontend-разработчик (web-компоненты) | Гознак | не указана
Менеджер отдела ВЭД | Группа компаний АЯК | от 170000 RUR
Frontend Developer (React, Vue) | РАСЧЕТНЫЕ РЕШЕНИЯ | не указана
Ассистент стилиста | look.online | не указана
Финансовый директор (CFO) | Lenkep recruitment | не указана
Няня | Lucky Personal | 180000 - 180000 RUR
Водитель руководителя | Морские Пропульсивные Системы | 105000 - 105000 RUR
Монтажник приборов ААК, регулирования и управления (монтажник КИПиА) | Вега-ГАЗ | от 121000 RUR
Старший кассир | Государственный Эрмитаж | 70000 - 75000 RUR
Администратор в офис с функциями АХО | Д-Транс, Группа Компаний | 100000 - 150000 RUR
Водитель-экспедитор Wildberries | Мувинг-Сибирь | от 120000 RUR
Специалист по подготовке данных для ИИ | Data Light | от 33000 RUR
Главный бухгалтер в единственном лице (удалёнка, гибрид) | ИНТОРГ | 115000 - 130000 RUR
Ассистент менеджера маркетплэйса Wildberries | Пикалов Павел Валерьевич | 40000 - 50000 RUR
Ведущий утреннего шоу Studio 21 | Европейская медиагруппа (ЕМГ) | не указана
Помощник Художника | PR | 58000 - 90000 RUR
Middle PR Manager | Монстарс | не указана
Проектный менеджер в AI-стартап | Томору | до 150000 RUR
Менеджер по закупкам | Teamline Consult | от 150000 RUR
Заместитель руководителя по общим вопросам | Псф Экодом регион | от 110000 RUR
Специалист по регистрации | Талан | от 60000 RUR
Охранник (в офис) | COZY HOME | не указана
ЛИЧНЫЙ ТЕЛОХРАНИТЕЛЬ | Коллегия адвокатов Регионсервис | не указана
Оператор оборудования | ПМ-КОМПОЗИТ | 83000 - 83000 RUR
Специалист службы безопасности | Группа компаний VR | 150000 - 150000 RUR
Бухгалтер | УК СЛК | 80000 - 80000 RUR
Junior Android developer | Fora Soft (Фора Софт) | 60000 - 80000 RUR
Заместитель начальника управления конкурентных закупок | ДСК АВТОБАН | до 290000 RUR
Охранник (сотрудник ГБР) | Газпром, Главное Управление Охраны | не указана
Специалист по взысканию задолженности | Кредитный клуб | не указана
QA Manual Engineer (Backend) | Петрович-Тех | не указана
Копирайтер | Санкт-Петербургский Арбитражный Управляющий | от 50000 RUR
Специалист по социальной работе | Ангарский Азотно-туковый завод | от 65000 RUR
Reels Maker/Контент-мейкер | Блэкмедиа | от 200000 RUR
Заместитель генерального директора по реализации проектов | Петербургская Сервисная Компания | 250000 - 320000 RUR
Помощник руководителя | Белая Русь | от 100000 RUR
Менеджер склада/Кладовщик | Мера | от 80000 RUR
Операционный менеджер | Принт Колор | до 183900 RUR
Бренд менеджер / Менеджер по оптовым продажам итальянских брендов одежды (без холодного поиска) | Superstudio | не указана
Юрист | Анисимова Юлия Вячеславовна | 250000 - 300000 RUR
Менеджер по бронированию авиабилетов и гостиниц (график 1/3) | ИНТУРАЭРО | от 120000 RUR
Администратор клиники | Клиника Эстетической Медицины Мд Клиник | 25000 - 40000 RUR
Инженер по тестированию ПО | Текон Автоматика | 70000 - 90000 RUR
Java developer | Снэп АйТи | 240000 - 255000 RUR
Оператор 1С | NEVERLATE | от 80000 RUR
Оператор (1С) | Пивоваренная Компания «Канцлеръ» | 66000 - 66000 RUR
Территориальный менеджер по развитию | PepsiCo | не указана
Копирайтер | Аптеки Плюс | до 57000 RUR
Секретарь | Министерство Спорта Архангельской Области | от 45000 RUR
Frontend-разработчик Javascript (Junior frontend developer) | Гипер | не указана
Владелец продукта/Product Lead | Правительство Москвы | не указана
Директор по безопасности | Производитель- зона присутствия все сети СНГ. | до 500000 RUR
Начальник службы безопасности | УК Арбат 38 | не указана
Личный/семейный водитель | Бастион | от 110000 RUR
Специалист по документообороту | Магистраль северной столицы | до 90000 RUR
Операционный шеф-повар | Гастрономический ресторан SVET | не указана
Специалист отдела продаж | Турецкие Авиалинии | не указана
Медиаблогер БМВ / Бренд-амбассадор BMW | Авто-Джаст | 170000 - 230000 RUR
Переводчик английского языка | АБИКО ГЛОБАЛ | 55000 - 85000 RUR
Персональный водитель руководителя | Омское продовольствие | от 50000 RUR
Начальник юридического управления проекта АЭС "Эль-Дабаа" | ИНЖИНИРИНГОВЫЙ ДИВИЗИОН ГОСКОРПОРАЦИИ РОСАТОМ | не указана
Продуктовый детектив в Жизньмарт | Жизньмарт Мини (ООО Не Поешь Толком - Будешь Волком) | не указана
Копирайтер | Синергиум | от 45000 RUR
Senior QA Engineer | Xello | не указана
Юрист в единственном лице в производственно-торговую компанию | Lue Sky Legal Recruitment | 300000 - 350000 RUR
Продавец мороженого | ТОП ФУД | от 5000 RUR
Ассистент отдела продаж/Координатор | AxeTech | 70000 - 100000 RUR
Советник | МБОУ Школа № 24 | 39000 - 39000 RUR
Сотрудник в типографию | Bull Stickers | 60000 - 120000 RUR
Личный водитель | Лангольер | 60000 - 70000 RUR
QA Engineer/Специалист по тестированию | B2B-Center | не указана
Начальника отдела управления проектами | Концерн ВКО Алмаз - Антей | не указана
Водитель | Кировпромвентиляция | от 70000 RUR
Домработница/домработник | Family staff Агентство услуг для дома и семьи | 180000 - 180000 RUR
Заместитель коммерческого директора | Владимирский завод прецизионных сплавов | не указана
Бухгалтер | Альянс | 70000 - 80000 RUR
Копирайтер | Газпром межрегионгаз | от 120000 RUR
Водитель | УЗГА-Инжиниринг | от 60600 RUR
Руководитель филиала | Asia MH | до 250000 RUR
Администратор женского клуба | Кузнецова Мария Дмитриевна | 45000 - 60000 RUR
Производитель работ | ВСС | от 260000 RUR
Заместитель Управляющего в ресторан Novikov Group | Старт | от 180000 RUR
Управляющий директор (крупная российская FMCG-компания) | Моя Вакансия | до 1500000 RUR
Аналитик | International Tobacco Group | 110000 - 110000 RUR
Специалист отдела экономической безопасности | ТЕХИНВЕСТ | 115000 - 130000 RUR
Водитель | ЭСМ | 40000 - 40000 RUR
Manual QA Engineer | НЭК ТЕХ | не указана
Менеджер по оформлению документов | ПАУЭР | от 60000 RUR
Охранник-Администратор | ДентаВита | от 80000 RUR
Главный специалист отдела тендеров и закупок | Моспроект-4 | 180000 - 180000 RUR
Начальник юридического отдела | Бизнес Сапиенс | от 220000 RUR
3D-визуализатор ! | Комкад | от 160000 RUR
Водитель на автомобиль компании категории B | Мэни Хэндс | от 140000 RUR
Руководитель девелоперского проекта | Пионер, Группа компаний | не указана
Бухгалтер на первичную документацию | Мост-Дв | от 80000 RUR
Специалист документооборота и ОРД | Интерфакс | не указана
Бармен в бар «MAJOR» | Бар Rubinstein 20 | от 120000 RUR
Менеджер по работе с клиентами (спортивные услуги) | Лужники Олимпийский комплекс | от 100000 RUR
Хостес | Honey Bunny | от 400000 RUR
Специалист по тестированию | Лаборатория Гемотест | до 150000 RUR
Аналитик (специалист Excel) | Бионика | не указана
Водитель генерального директора | Ермакова Ольга Андреевна | 130000 - 130000 RUR
Юрисконсульт | Bosco di Ciliegi | 150000 - 180000 RUR
Помощник руководителя | Вира 58 | 70000 - 70000 RUR
Бухгалтер на первичную документацию | Успенка | 50000 - 50000 RUR
Старший бухгалтер | Иркутский завод тяжелого машиностроения | 110000 - 110000 RUR
Руководитель проекта дирекции капитального строительства | ТГК-1 | не указана
Специалист на склад металлопроката | Торговый Дом Тула-Сталь | 70000 - 115000 RUR
Специалист по кадрам /Казанское шоссе/ | Персонал-Волга | 90000 - 100000 RUR
Купажист | ЛВЗ Саранский | 50000 - 60000 RUR
Персональный водитель / личный водитель, г. Москва (офис) | Трансстроймеханизация | не указана
Коммерческий директор | ПКРФ | 200000 - 300000 RUR
Менеджер по МСФО отчетности | НТехЛаб | не указана
Главный бухгалтер | ДОХОДЪ, Инвестиционная Компания | не указана
Специалист внедрения и сопровождения ПО | КВАРТА ВК | не указана
PR- менеджер депутата Государственной Думы ФС РФ по международному направлению | АНО Русский лес | 120000 - 150000 RUR
SMM-менеджер (стажер) | Ubit | от 65000 RUR
Управляющий комплексом (ТЕРМОЛЭНД, г. Орел) | TERMOLAND | 149425 - 230000 RUR
Руководитель отдела правового сопровождения проектов в юридический департамент | Группа компаний РБЕ (RBE Group) | от 340000 RUR
Специалист по работе с клиентами | Транспортная компания Kit | от 50000 RUR
Помощник по хозяйству | Столичное сервисное агентство | до 200000 RUR
Администратор | БУК ВО Вологодский областной театр кукол Теремок | 38000 - 38000 RUR
Курьер (доставка документов, офис) | Целевые Финансы | 60000 - 60000 RUR
Руководитель направления автомобили | Бизнес Центр А+ | 200000 - 300000 RUR
Менеджер проектов в команду спецпроектов | Т-Банк | не указана
Финансовый менеджер | Производственная компания | не указана
Cистемный аналитик / System analyst (Модерация) | WILDBERRIES | не указана
Менеджер отдела снабжения удаленно | BUSINESS PRO | 80000 - 100000 RUR
Персональный водитель руководителя | Мосты и инженерные проекты | от 120000 RUR
Администратор | Офтальмологическая клиника Эксимер | от 200000 RUR
Менеджер по работе со спонсорами и партнерами | Национальный Нефтегазовый Форум | от 200000 RUR
Бухгалтер | Парк покорителей космоса им.Ю.А.Гагарина | 68000 - 75000 RUR
Директор филиала | Валта | от 150000 RUR
Директор по маркетингу | EXE.CTLY | не указана
Специалист организационно-аналитической службы безопасности | Агрохолдинг Просторы | не указана
Специалист по обеспечению пропускного режима | Тулаоборонстрой | от 60000 RUR
QA Engineer | Группа IT-компаний Lad | до 130000 RUR
Главный бухгалтер | АРТ-ТЕАТР | от 180000 RUR
Программист-разработчик | Благотворительный фонд Сила правых | от 180000 RUR
Начальник цеха | Ульяновское конструкторское бюро приборостроения | 190000 - 200000 RUR
Специалист техподдержки (верификация пользователей) | BetBoom | 53000 - 60000 RUR
Управляющая/управляющий в ресторан | НОВЫЙ ФОРМАТ | 150000 - 200000 RUR
Руководитель направления стратегических проектов | Евразийский банк развития | не указана
Бизнес-аналитик | SSP SOFT | до 350000 RUR
Бухгалтер | Арт - плюс | от 90000 RUR
Frontend react разработчик | Broad Apps | до 100000 RUR
Психолог - Новая Москва (ТиНАО) | Благотворительный фонд Дети наши | от 77000 RUR
Менеджер по персоналу в одном лице | БИОПРОМ | не указана
Офис-менеджер | Строй Техно Инженеринг | не указана
Тестировщик ПО | Финстрим | не указана
Менеджер по продажам | Эксперт Зап | 150000 - 180000 RUR
Заведующий канцелярией | КГБУЗ Родильный дом № 3 | 57500 - 57500 RUR
Руководитель отдела рекламы и продвижения | TEZ TOUR | от 195000 RUR
Frontend-разработчик | Карфак | 100000 - 200000 RUR
Оператор 1с | Уральский фермер | 55000 - 55000 RUR
Учитель-логопед | ГБОУ Школа №2090 | от 70000 RUR
Видеограф | Вейнард | от 150000 RUR
Специалист по кадрам | Альянс | 70000 - 80000 RUR
Администратор | Гостиница Алаас | 5000 - 5000 RUR
Водитель | Содействие | от 91000 RUR
Директор по персоналу (финтех) | М.Видео-Эльдорадо | не указана
Администратор в салон штор | Салон штор маркиза | 300000 - 350000 KZT
Заместитель начальника отдела хозяйственного обеспечения | Россельхозбанк | от 85000 RUR
Хостес/администратор в СПА салон | Федотова Мария | 150000 - 300000 RUR
Офис-менеджер на ресепшен | 360 КОНСТРАКШН | от 70000 RUR
Администратор в салон красоты | Точка | 50000 - 75000 RUR
Инженер-тестировщик | Интегрис | не указана
Электрик, помощник электрика, монтажник | Системы Безопасности | 75000 - 120000 RUR
Няня-Гувернантка/Гувернер для девочки 10 лет (Москва, Рублёвка) | English Nanny | 230000 - 250000 RUR
Упаковщик пончиков | Донатленд | от 3000 RUR
Менеджер по продажам (без поиска клиентов) | Инженерное Оборудование | от 150000 RUR
Региональный торговый представитель на корпоративном автомобиле | Дали | 120000 - 200000 RUR
Event-менеджер | Управляющая компания GallaDance | от 180000 RUR
Ручной тестировщик / Manual QA-инженер | Лаборатория 50 | до 130000 RUR
Главный бухгалтер (в единственном лице) | Sunlight Outdoor | не указана
Ведущий бухгалтер на первичные документы ГК | Верде | от 70000 RUR
Manual QA Engineer | Affilyx (ООО Здоровье Онлайн) | до 120000 RUR
Иллюстратор | Онлайн-школа №1 | 70000 - 70000 RUR
Специалист по транспортной безопасности (охранник) | Подразделение Транспортной Безопасности Арсенал-М | 120000 - 150000 RUR
Тестировщик ПО Middle | Интрайс | 60000 - 150000 RUR
Финансовый директор | LUSIO | не указана
Менеджер по закупкам и снабжению | Консерв-трейд | от 100000 RUR
Главный инженер | Голд Стандарт | 500000 - 500000 RUR
Руководитель проектов | Группа ВИС | не указана
Региональный директор по продажам в розничной сети | Sunlight | до 500000 RUR
Личный водитель | Арвест групп | не указана
Администратор в конный клуб | КСК Прованс | 60000 - 95000 RUR
Менеджер проектов (организация мероприятий) | Российское общество Знание | не указана
Администратор автосалона | Независимость | до 70000 RUR
Тестировщик / QA engineer | РТК – Цифровой документооборот | не указана
Администратор | ГБУ г. Москвы Московский Городской Центр Реабилитации | до 100000 RUR
Фотограф Автомобилей | ИЮЛЬ авто | от 65000 RUR
Водитель-экспедитор категория В (машина домашняя) | РТЭ | не указана
Менеджер по продажам, удаленно | Arteria | 80000 - 200000 RUR
Личный помощник | АВ Трейд | от 150000 RUR
Водитель категории В | ПСК КамаМост | от 70000 RUR
Банщица-Пармастерица / Банщик-Пармастер в женское отделение | Бани Малевича | 200000 - 350000 RUR
Охранник в офис | КРОК | не указана
Бизнес-ассистент/помощник руководителя | Bridge2HR | от 200000 RUR
Специалист по кадровому делопроизводству | Рейл Актив Оператор | 172500 - 172500 RUR
Администратор | Медэксперт | от 50000 RUR
Региональный менеджер | Эм эн уай | 100000 - 150000 RUR
Менеджер по продажам B2B | Альвента | 115000 - 145000 RUR
Производитель работ на реконструкцию | ПРОФЭНЕРГО | от 140000 RUR
Официант | Сеть кофеен Шоколадница | 50000 - 100000 RUR
Frontend-разработчик | Хачатрян Лиля Геворговна | 200000 - 250000 RUR
Помощник флориста в цветочную сеть | Салон цветов Малина | 42000 - 45000 RUR
Водитель-экспедитор | КМ-01 (Мастер Пласт) | 75000 - 100000 RUR
Бизнес-ассистент / Помощник руководителя | Долсо | от 150000 RUR
QA Engineer Junior | Chad AI | до 120000 RUR
Секретарь приемной руководителя (первого лица компании) | Промышленное Строительство | от 150000 RUR
Личный водитель | Ушакова Кристина Егоровна | 120000 - 150000 RUR
Менеджер Telegram | ЮК ГАРАНТ защита дольщиков | 60000 - 90000 RUR
Личный водитель | Самарский завод медицинских изделий | от 50000 RUR
Водитель погрузчика | НМТ | от 80000 RUR
Директор по продажам | ЭКО-ТЕКС | не указана
Юрист | ТД Брянский картон | 60000 - 150000 RUR
Ассистент врача-дерматолога, косметолога | Beauty+ | от 60000 RUR
Коммерческий директор (переезд) | Медиа Онлайн | 400000 - 600000 RUR
Медицинская сестра / Медицинский брат | Евро Мед | от 6500 RUR
Бухгалтер по работе с клиентами | Экосервис-НН | от 83000 RUR
Коммерческий директор (CCO) | Koroleva HR | от 300000 RUR
Секретарь-переводчик | Посольство Демократической Республики Конго | не указана
Администратор | Ижевский мотозавод “Аксион-холдинг” | не указана
Директор завода строительных металлоконструкций | Завод по производству строительных металлоконструкций | 700000 - 1000000 RUR
Главный бухгалтер | Пиксельпро | от 250000 RUR
Менеджер по работе с клиентами | Carloson Club | от 150000 RUR
Домработница / домработник | Lucky Personal | 180000 - 190000 RUR
Территориальный менеджер | Сладкая Сказка | 120000 - 150000 RUR
Аналитик данных (SQL/Excel) | Анекс Туризм | не указана
Заместитель директора по Административно-хозяйственной работе (АХР) | МБОУ СОШ 32 | 113000 - 113000 RUR
Водитель-монтажник табачного оборудования | Тех-Ник | от 150000 RUR
SMM-менеджер | Печка | до 75000 RUR
Оператор 1C | WERNOX,группа компаний | от 50000 RUR
Онлайн администратор в beauty | XSize (ИП Щербаков Максим Олегович) | не указана
Младший аналитик процессов | Flowwow | от 90000 RUR
Middle+/Senior QA инженер | Sminex | 260000 - 303000 RUR
Прораб отделочных работ | Радонеж-С | 139200 - 156600 RUR
Экономист (м. Белорусская) | PIZZASUSHIWOK | от 100000 RUR
Ведущий специалист отдела кадров | БРАЙТ КЕЙС | 85000 - 100000 RUR
Менеджер продукта (Дринкит) | DODO BRANDS (Dodo Pizza, Drinkit) | не указана
Ассистент продюсера в продакшн | PINTY | от 45000 RUR
Укладчик продукции медицинского назначения | ГБУЗ ММНКЦ им. С.П. Боткина ДЗМ | от 80000 RUR
Оператор ЭВМ | ГУЗ Областной клинический противотуберкулезный диспансер | 50000 - 50000 RUR
Менеджер по аренде банкоматов | Мария-Ра | от 95000 RUR
Менеджер Wildberries | Гореликова Кристина Евгеньевна | 20000 - 80000 RUR
Руководитель отдела маркетинга | HARTUNG | не указана
Сотрудник службы безопасности | Группа Компаний Монолит | 80000 - 90000 RUR
Курьер офисный | ADAMAS | 57500 - 57500 RUR
Golang разработчик | F6 | не указана
Специалист по оформлению пропусков | Филиал АО Илк Иншаат Тааххют Санайи Ве Тиджарет Аноним Ширкети | от 70000 RUR
Специалист отдела снабжения | Еврострой | до 200000 RUR
Специалист по документообороту (по работе с договорами) | АНО Проектный офис по Развитию Туризма и Гостеприимства Москвы | 115000 - 132000 RUR
Водитель-экспедитор | Башарин Дмитрий Михайлович | 80000 - 90000 RUR
Контент-менеджер | Т-Банк | не указана
Водитель | Транспорт94 | 100000 - 135000 RUR
Охранник | IVA Тенистая | от 70000 RUR
Backend-разработчик (junior/middle) | Геоскан | не указана
Менеджер по продажам (B2B) | Moeco | до 180000 RUR
Специалист отдела продаж (Автострахование) | СоколикГрупп | не указана
HRD | 1С Гейм Студиос | не указана
Специалист по ручному тестированию | Copperside | не указана
Администратор диспетчер | Россойл | от 190000 RUR
Специалист Управления учета кадров | РусГидро | не указана
Водитель легкового автомобиля | Сибирская генерирующая Компания | 75000 - 85000 RUR
Руководитель обособленного подразделения (г. Ноябрьск, ЯНАО) | Газпром СПГ технологии | не указана
Заместитель директора дивизиона | ВПТ | от 160000 RUR
Python-разработчик | Автопарк | от 80000 RUR
Python Backend Разработчик | Lucky Site | 90000 - 180000 RUR
Водитель автомобиля | Сыктывкар Тиссью Груп | до 60000 RUR
Охранник | Ангажемент | от 60000 RUR
QA engineer (стажер) | Джемини Софт | не указана
Product Marketing Manager/Продуктовый маркетолог | Рокетбанк | не указана
Начальник отдела по работе с персоналом | Сн Голд Майнинг | не указана
Менеджер маркетплейсов / помощник интернет магазина | Пнп-Групп | от 50000 RUR
Водитель ларгуса | ОВК ТЕРМ | от 75000 RUR
Редактор учебных материалов | Наука ПСИ2.0 | не указана
Волк с Уолл-стрит | Реал Инвест | 750000 - 1500000 RUR
Начинающий специалист в салон сотовой связи (г.Москва) | Интерком | от 70000 RUR
Менеджер по продажам медицинского оборудования | БиоМедГрупп | 75000 - 300000 RUR
Комплектовщик сети Ярче! (РЦ) | КДВ Групп | 125000 - 150000 RUR
Регистратор заявок | Дом.ру | от 50000 RUR
Ведущий инженер ПТО | РВД-3 | от 160000 RUR
Бригадир в тепличный комплекс | АПХ ЭКО-культура | от 130000 RUR
Техник по эксплуатации (на объекты) | Центр Вест | 100000 - 120000 RUR
Backend разработчик python (junior) | BND LLC | до 150000 RUR
Заместитель генерального директора по строительству | Миланстрой | не указана
Главный бухгалтер (ритейл) | Аксима: Консалт | от 400000 RUR
Персональный водитель | УК Классик Инвест | 100000 - 200000 RUR
Дизайнер карточек на маркетплейсах (Wildberries, Ozon) | Sellercenter | 50000 - 50000 RUR
Заместитель директора предприятия | Калининградский Вагоностроительный Завод | не указана
Водитель-экспедитор | Автолига | от 90000 RUR
Менеджер по коммерческой недвижимости | Голубева Юлия Дмитриевна | от 200000 RUR
Ассистент категорийного отдела | Литрес | не указана
Торговый директор по продажам | Аэро Групп | не указана
Руководитель проектного направления | Твой мир | от 200000 RUR
Администратор ресепшена | Клиника гормонального здоровья доктора Магеря | от 75000 RUR
Старший администратор/администратор | Beauty Bar GUBBA | 50000 - 70000 RUR
Главный бухгалтер | Стогова Анна | до 450000 RUR
Координатор отдела продаж | Фудпром | 130000 - 150000 RUR
Контент-менеджер-удаленно | Stimul-web | до 45000 RUR
Водитель автомобиля | Россети Электросетьсервис | 60000 - 90000 RUR
Старший юрист | Natura Siberica | не указана
Специалист по сканированию документов (архив) | Филиал Публично-Правовой компании Роскадастр по Челябинску | от 30000 RUR
Территориальный управляющий | Retail Personal | 130000 - 160000 RUR
QA инженер | Вирэнт | от 100000 RUR
Водитель автомобиля | Россети Сибирь | 55000 - 65000 RUR
Руководитель отдела продаж | Illan communications | до 574713 RUR
Системный аналитик | LADA Цифра | не указана
Бухгалтер по начислению заработной платы | Воронежский шампиньон | от 100000 RUR
Намотчик катушек | ИЭМЗ КУПОЛ | до 100000 RUR
Водитель | Эмкар | от 100000 RUR
Финансовый директор FMCG (офис, центр Москвы) | Hr-formula | 300000 - 500000 RUR
Бухгалтер на участок банк-клиент | БОСАНТУР ДВА | от 90000 RUR
Главный инженер | Голд Стандарт | 500000 - 500000 RUR
Контент-редактор в медицине | Медицинский центр неврологии и ортопедии «ЗдравКлиник» | 80000 - 90000 RUR
Руководитель отдела закупок (ОМТО) | Петербургский нефтяной терминал | от 173000 RUR
Курьер | ГКУ Инфогород | не указана
Механик | Агат | от 130000 RUR
Территориальный управляющий розничной сетью | Antal Talent | не указана
Специалист по закупкам по 223-ФЗ (по работе с заявками) | ГАОУ ДПО Корпоративный Университет Московского Образования | 180000 - 180000 RUR
Менеджер по выявлению потребности | ЕЦТ | от 50000 RUR
Администратор ресепшен | НЕБО | от 70000 RUR
Оператор на выписку первичных документов | ЦАРЬ-МЯСО, БМПК | до 50000 RUR
QA инженер | Lime Credit Group | не указана
Middle FrontEnd developer | РТСофт | не указана
Бизнес-архитектор | ГК Addwise/Addpro | 700000 - 850000 RUR
Водитель на собственном грузовом автомобиле | ГРАД | 240000 - 240000 RUR
Операционный директор | Альянс-Трейд | не указана
Уборщица/уборщик | Фонд Социальной Защиты Сотрудников АО Альфа-Банк | 54000 - 54000 RUR
Управляющий | Адаева Патимат Магомедовна | 60000 - 120000 RUR
Сопровождающий специалист в ГИБДД | Свистунов Алексей Андреевич | от 70000 RUR
Менеджер - администратор в сеть клиник, реабилитационный комплекс, удаленная работа | Альтасеилс | от 70000 RUR
Помощник Миллионера | Ленстроймонолит | 120000 - 250000 RUR
Личный ассистент эксперта-блогера в Москве (неполный день, 4 часа) | Яшнова Алена Викторовна | 50000 - 70000 RUR
Главный инженер | МИТ КИНГ | не указана
Специалист по таможенному оформлению | ROSSKO PRODUCTION | от 50000 RUR
Помощник руководителя (в Европе) | Торговая сеть Ярмарка | от 200000 RUR
Офис-менеджер | Фламинго | от 75000 RUR
Директор по развитию (логистика) | StaffRecruitment | от 600000 RUR
Тестировщик / QA Engineer | Finist Lab | не указана
Начальник службы безопасности | Свит Лайф Сервис | от 100000 RUR
Директор обособленного подразделения | Ариэль Пласткомплект | не указана
Старший повар | Банни Бакс | 90000 - 150000 RUR
Главный бухгалтер | Колобова Елена Борисовна | 150000 - 200000 RUR
Корректор | Система | не указана
Начальник планово-экономического отдела | Альфамонолит | от 300000 RUR
Junior QA engineer / Инженер-тестировщик | СОФИ И ПАРТНЕРЫ | от 90000 RUR
Младший технический специалист / HTML-верстальщик | ADWAY.TEAM | от 40000 RUR
Главный бухгалтер | ГРУППА КОМПАНИЙ ЕПК | не указана
Руководитель проектного направления | Твой мир | от 200000 RUR
Электромонтер по ремонту и обслуживанию ГПМ | Особая Экономическая Зона Технополис Москва | 86000 - 95000 RUR
Организатор спортивных мероприятий (Event-менеджер) | Баскетбольный клуб Пари Нижний Новгород | от 60000 RUR
Заместитель директора Департамента | ФГБУК Роскультпроект | 150000 - 200000 RUR
Руководитель отдела продаж (РОП) | ГК ЦЭР | не указана
Младший редактор (редакция "Перевод") | АСТ, издательская группа | не указана
Помощник по хозяйству | ВЕСТА | 170000 - 200000 RUR
Администратор-менеджер | Хорошая погода | 100000 - 250000 RUR
Менеджер маркетплейсов (стажер) | Борисенко Алексей Владимирович | 15000 - 50000 RUR
Специалист по ведению документооборота | Брянская зерновая компания | от 45000 RUR
Семейный водитель | Алексеева Светлана Игоревна | 100000 - 120000 RUR
Юрист | РТ-Стройтех | до 200000 RUR
Секретарь в приемную руководителя | КУ ВО Презентационно-сервисный центр | 65000 - 85000 RUR
Водитель | Прокуратура Ивановской области | 40000 - 40000 RUR
Руководитель проектов | Группа компаний МЕДСИ | не указана
Менеджер по записи на СТО (удаленно) | Автоспот | 60000 - 80000 RUR
Бухгалтер | Профессионал | от 70000 RUR
Инженер 1 категории (Отдел инженерного сопровождения), г. Пермь | ЛУКОЙЛ | от 130000 RUR
Программист Python | Азбука Мебели | от 80000 RUR
Продавец-консультант Falconeri (ТЦ Атриум) | Oniverse | не указана
QA-инженер/Manual Middle/Тестировщик | ТУ СОФТ | не указана
Креативный продюсер | Simple | не указана
Копирайтер в онлайн школу рисования (удаленно) | NY SCHOOL | 20000 - 30000 RUR
Ведущий менеджер по продажам b2b | Эксперт Центр | 70000 - 400000 RUR
Онлайн-консультант (на чаты) | ЗооОптТорг.рф, сеть зоомагазинов | от 50000 RUR
Исполнительный директор (CEO) | BRAMTON | 700000 - 1200000 RUR
Переводчик с английского языка | WordHouse | 55000 - 85000 RUR
Юрист в игровую компанию | Иннова | не указана
Руководитель юридического отдела | КРОС | не указана
Тестировщик | Юрент | не указана
3D-дизайнер | Revyline | 100000 - 150000 RUR
Управляющий многопрофильным медицинским центром | Атлант | 300000 - 400000 RUR
Специалист по тестированию (ручное/manual) | Hi, Rockits! | не указана
Исполнительный / Операционный директор | AVANTA Consulting | не указана
Офис-менеджер | 1040 | 80000 - 200000 RUR
Специалист по кадровому делопроизводству | ГБУЗ ТОКСП | от 40000 RUR
Заместитель главного инженера | КОРПОРАЦИЯ АЕОН | до 230000 RUR
Су-шеф/шеф-повар | Кэшин Кэрри | 120000 - 180000 RUR
Директор по развитию производственного предприятия | ЛайнерТек | от 200000 RUR
Специалист по кадрам и документообороту | Keepcode | до 80000 RUR
