Название вакансии | Работодатель | Зарплата
Директор по дизайну | Diamond Personnel R&C | до 600000 RUR
Главный инженер | Голд Стандарт | 500000 - 500000 RUR
Менеджер проекта | Project Manager | Газпром-Медиа | не указана
Мобильный директор магазина | ТВОЕ | от 75000 RUR
Начальник производства | САТ | от 160000 RUR
Генеральный директор | МеталлСтройСервис | не указана
Водитель микроавтобуса | Технотрейд | 110000 - 150000 RUR
Кофе-леди / кофе-мен на VIP этаж | Фомина Александра Владимировна | 140000 - 140000 RUR
Младший менеджер в ивент-отдел | Футбольный клуб Динамо-Москва | не указана
Тестировщик по FINTECH | МКК Займ-Экспресс | не указана
Начальник отдела поддержки обслуживания пользователей | Автодор-Платные Дороги | от 124800 RUR
Ассистент дизайн-студии | GENESIS Asset Management | от 90000 RUR
SMM-менеджер (junior) | Davines Russia | не указана
Охранник в пос. Софрино М.О. | ЧОП Велес Элит  | 120000 - 124000 RUR
Исполнительный директор | Глобал-НМ | не указана
Ведущий утреннего шоу | Радио Шансон, Love Radio, Радио Дача, Такси FM, Радио Русский Хит, Восток FM, Первое Спортивное радио | не указана
Бухгалтер | Лемон Лабс | от 80000 RUR
Водитель | Алейникова Олеся Владимировна | 100000 - 150000 RUR
Frontend-разработчик (React) | HR Prime | не указана
Personal assistant/Family Assistant | Institute of Directors Moscow | 250000 - 400000 RUR
Бариста - старший дегустатор пенки от капучино | Гарден | 100000 - 500000 RUR
Учитель английского языка | ГБОУ ШКОЛА № 222 | не указана
Водитель персональный | ГК Олимпроект | от 150000 RUR
Специалист по закупкам и снабжению | Комплексные энергетические решения | от 180000 RUR
Домработница-домработник/горничная | Курова Светлана Константиновна | 8000 - 10000 RUR
Бухгалтер по расчету заработной платы | АЙ ПИ ТИ ГРУПП | от 172500 RUR
Менеджер по подбору персонала (массовый подбор) | Объединённый Кадровый Сервис | от 80000 RUR
Кладовщик-комплектовщик на склад Яндекс Маркет | Яндекс Команда для бизнеса | от 83700 RUR
Генеральный директор | Жираф | от 1000000 RUR
Ведущий специалист | Государственная корпорация Агентство по страхованию вкладов | 155000 - 155000 RUR
Перегонщик в городе | КарШайн | до 120000 RUR
Бухгалтер на первичную документацию | Управляющая компания Корвет | 150000 - 150000 RUR
Менеджер по работе с ключевыми клиентами (без поиска новых клиентов) | Арлайт РУС | от 250000 RUR
Коммерческий директор (B2B) | ПРАВИЛЬНЫЕ ЛЮДИ | 400000 - 600000 RUR
Ассистент режиссера | Телеканал 360 | 70000 - 70000 RUR
Python-разработчик | КРОК | не указана
Повар в семью на 5/2 с проживанием и без | Хорошее Агентство | 240000 - 260000 RUR
Уборщица/уборщик в офис | Группа компаний Фараон | от 90000 RUR
Уборщик/Уборщица в офис | Электрификация | 80000 - 90000 RUR
Ведущий юрисконсульт | Алео-Альянс | 200000 - 230000 RUR
СЕКРЕТАРЬ РУКОВОДИТЕЛЯ (СОБСТВЕННИК) | ТАЙП 2000 | 130000 - 160000 RUR
Руководитель юридической службы | ФГБОУ ВО Санкт-Петербургский Государственный Университет Телекоммуникаций Им. Проф. М.А. Бонч-Бруевича | 200000 - 200000 RUR
Водитель на Peugeot Expert | Сеть магазинов Наблюдатель | 66000 - 72000 RUR
Офис менеджер | Моментум | от 150000 RUR
Персональный водитель | Ивановская текстильная компания | 140000 - 180000 RUR
Няня | ВЕСТА | 170000 - 200000 RUR
Специалист организационной поддержки | Правительство Псковской области | от 47000 RUR
Администратор-менеджер | Хорошая погода | 100000 - 250000 RUR
Сварщик | Мегаполис Строй | 180000 - 280000 RUR
Специалист по кадровому администрированию | ДелоТех | до 200000 RUR
Персональный водитель (Одинцовский район) | Евразия | 150000 - 150000 RUR
Менеджер интернет - магазина | NUSELF | от 100000 RUR
Заместитель директора школы по Воспитательной Работе (ВР) (м. Зорге/Октябрьске поле) | ONE! International School | от 150000 RUR
Ассистент врача-косметолога | Омни Люкс | от 180000 RUR
Бухгалтер на первичную документацию | RCG | от 130000 RUR
Экономист по финансовой работе | ТРАНСНЕФТЬ - ДАЛЬНИЙ ВОСТОК | до 112000 RUR
Водитель легкового автомобиля | Хоккейный Клуб Автомобилист г.Екатеринбург | от 63000 RUR
Производитель работ в г. Норильск | ВСС | от 330000 RUR
Заместитель Директора | Астраханский речной порт | от 80000 RUR
Инженер по тестированию (портал gosuslugi.ru) | РТЛабс | не указана
Представитель компании в Китае | Киселев Антон Александрович | 200000 - 350000 RUR
Продюсер | ИРИ | не указана
Генеральный директор | Ski Resort Development | от 3000000 KZT
Координатор съёмочных групп | ВГТРК (Всероссийская государственная телевизионная и радиовещательная компания) | не указана
Директор департамента по персоналу (HR Director) | Фрейт Вилладж Девелопмент | не указана
Помощник руководителя - персональный водитель | Белая Русь | от 100000 RUR
Менеджер по продажам B2B | Центр Строительно-Проектной и Промышленной Экспертизы | от 150000 RUR
Рабочий по уходу за животными | ГАУ Московский зоопарк | 63700 - 70000 RUR
Делопроизводитель | Смарт Энерго Трейд | не указана
Менеджер в типографию удаленно | Аформат | 30000 - 70000 RUR
Бухгалтер | Водоходъ. Пассажирский Порт | 92000 - 102000 RUR
Водитель-экспедитор по доставке мороженого | НК Групп | от 95000 RUR
Водитель автомобиля (водитель руководителя) | ПО Баррикада | от 105000 RUR
Директор по строительству (СЗ) | Феникс | не указана
Менеджер постпродажного обслуживания (ВИП сегмент) | Группа компаний ДОНСТРОЙ | от 220000 RUR
Семейный водитель | ТДЛ Текстиль | 150000 - 150000 RUR
Администратор студии маникюра | Сеть студий маникюра Лены Лениной (ИП Котов Сергей Сергеевич) | 60000 - 80000 RUR
Личный помощник / ассистент руководителя | Банкирро | 100000 - 130000 RUR
Персональный водитель руководителя | Aldo Coppola | от 130000 RUR
Руководитель кадрового подразделения | Лигал Бутик | до 250000 RUR
Персональный водитель | Коллегия адвокатов Регионсервис | от 150000 RUR
Арт-менеджер | Синозацкий Юрий Петрович | 70000 - 150000 RUR
Оператор видеонаблюдения | Руспаллет | от 60000 RUR
Слесарь МСР на производство автодеталей | Тофрис | от 100000 RUR
Администратор медицинской клиники | СОВРЕМЕННАЯ МРТ-ТОМОГРАФИЯ | от 50000 RUR
Директор по маркетингу B2B | ГЕТ ЭКСПЕРТС РЕКРУТМЕНТ | не указана
Middle QA Engineer | ИТ-Экспертиза | не указана
Тестировщик - QA Engineer (Middle+) | BIV | не указана
Фотограф | АНО ВО Национальный Институт Дизайна | 80000 - 90000 RUR
Помощник/ассистент руководителя (Правительство Самарской области) | Администрация Губернатора Самарской области | от 60000 RUR
Персональный водитель (Toyota Camry) | ВР-Ресурс | 100000 - 100000 RUR
Специалист по упаковке | Ви Фрай | не указана
Бухгалтер | Ростерминалуголь | 120000 - 120000 RUR
Личный водитель | Чайковская Анастасия Борисовна | от 130000 RUR
Менеджер по работе с органами государственной власти | Нанолек | не указана
Пеший курьер (доставка документов) | АВИА ЦЕНТР | от 50000 RUR
Инспектор | СК | 80000 - 100000 RUR
Документовед секретариата | НИУ БелГУ | до 45000 RUR
Руководитель по соблюдению законодательства и внутренних процедур | «Филип Моррис Интернэшнл» в России | не указана
Учитель английского языка | Алексеева Анастасия Александровна | от 100000 RUR
QA Engineer | Red Collar | не указана
Охранник 1/3 , 5/2 | RDWI | 5000 - 6000 RUR
Специалист по регистрации | ШЕРЕМЕТЬЕВО ХЭНДЛИНГ | от 110000 RUR
Водитель-экспедитор, категория "В" | ЭкоНиваТехника-Холдинг | не указана
Водитель на автомобиль компании категории В | ТРИНИТИ-ПАРТС | от 70000 RUR
Директор региона / Территориальный управляющий | Орматек, ГК | 150000 - 200000 RUR
Уборщик офисных помещений | Гусева Наталья Сергеевна | 90000 - 90000 RUR
Директор по цифровизации | Бифорком Тек | не указана
Главный юрисконсульт | Полигон77 | 220000 - 250000 RUR
Генеральный директор | MYRIAD RUS | не указана
Руководитель Управления по охране труда и промышленной безопасности | ПТБ Арктика | не указана
Начальник отдела кадров | 163 Бронетанковый Ремонтный Завод | 80000 - 100000 RUR
Директор по маркетингу | Le Mousse | не указана
Старший менеджер по заботе об учениках школы шитья / администратор | Хочу Шить | 65000 - 80000 RUR
Специалист по формированию наградных материалов | Татнефть | до 60000 RUR
Домработница/Домработник (м.Киевская) | Попова Татьяна | 150000 - 150000 RUR
Ручной тестировщик ПО | ТРАНСКАПИТАЛБАНК | не указана
Фотограф | IRISK GROUP | 100000 - 100000 RUR
Домработница (домработник) | Братилова Оксана Викторовна | 180000 - 200000 RUR
Персональный водитель | ФГБУК Роскультпроект | 120000 - 130000 RUR
Специалист по подбору персонала и административной работе | СевЛесПил | 76400 - 76400 RUR
Бизнес-ассистент генерального директора | Благотворительный Фонд Владимира Потанина | не указана
Водитель автомобиля | Полипласт-Уралсиб | не указана
Руководитель юридического отдела (GLA) | Ресторан The Бык (ИП Межлумова Ирина Юльевна) | от 250000 RUR
Специалист службы управления персоналом | Газпром Энергохолдинг Литейные Технологии | от 100000 RUR
Позвоните, пожалуйста, в рабочее время по телефону +7 (495) 1472883 или напишите в чат. | FusionLink | 205000 - 300000 RUR
Упаковщик, фасовщик-грузчик | «Др.Тайсс Натурварен Рус» | 54400 - 66500 RUR
Продавец-консультант в магазин SuperStep | SuperStep | от 60000 RUR
Директор обособленного подразделения | StaffRecruitment | от 900000 RUR
Торговый представитель (р-н Центр) | Стритс | от 75000 RUR
